sample_no,lab_acession_no,band_no,collection_date,period,age,sex,grid,cap_loc,net_setup,net_no,t_cap,t_release,cap_meth,wing_mm,tail_mm,mass_g,fat,pect,cp,bp,body_molt,wing_molt,photos,nest_day,nest_no,nest_status,field_remarks,dna_ext_date,f_mass_g,f_extractor,ext_remarks,,
56-04,06-0113,3171-08858,7/26/2023,3,sy,m,bg,feederbg-1,na,na,6:40:00 AM,7:22:00 AM,feeder,69.5,53,NA,2,1,na,na,na,na,yes,na,na,na,na,1/19/2024,0.022,HD,twist top tube,,
56-05,06-0114,3171-08859,7/26/2023,3,hy,u,bg,net23-12-1,12,1,6:44:00 AM,7:25:00 AM,passive,61,52,13.76,0,2,na,na,yes,no,yes,na,na,na,molt tail feather,1/19/2024,0.0737,HD,twist top tube,,
56-09,06-0118,3171-08862,7/26/2023,3,asy,f,bg,net23-12-6,12,6,6:50:00 AM,8:01:00 AM,passive,61,54,14.67,0,1,no,yes,na,na,yes,na,na,na,na,1/19/2024,0.0297,HD,twist top tube,,
57-03,06-0126,2811-93091,7/27/2023,3,sy,m,bg,net23-12-5,12,5,6:41:00 AM,7:00:00 AM,passive,68,51,16.36,2,1,no,no,na,na,yes,na,na,na,Blue face,1/19/2024,0.0556,HD,twist top tube,,
57-08,06-0131,3171-08874,7/27/2023,3,asy,f,bg,net23-12-6,12,6,8:21:00 AM,8:57:00 AM,passive,67,58,14.87,0,1,no,yes,na,na,yes,na,na,na,Healing BP,1/19/2024,0.0318,HD,twist top tube,,
58-01,06-0132,2811-93082,7/28/2023,3,asy,m,bg,feederbg-2,na,na,6:20:00 AM,6:33:00 AM,feeder,75,58,20.19,2,1,yes,no,yes,no,yes,na,na,na,"Missing 4 tail feathers R1&2,L1&2; little CP, less than 0.5 meters from 3171-08755, possible dad",1/19/2024,0.0561,HD,twist top tube,,
58-04,06-0135,2811-93026,7/28/2023,3,sy,f,bg,feederbg-2,na,na,6:47:00 AM,7:17:00 AM,feeder,66,52,13.98,0,0,no,yes,na,na,yes,na,na,na,Feather in sample,1/19/2024,0.0785,HD,twist top tube,,
58-06,06-0137,3171-08880,7/28/2023,3,hy,u,bg,net23-13-1,13,1,6:48:00 AM,7:38:00 AM,passive,68,45,15.84,0,0,na,na,yes,no,yes,na,na,na,"Feather in sample; full body molt, wing and tail",1/19/2024,0.0645,HD,twist top tube,,
58-07,06-0138,3171-08881,7/28/2023,3,hy,u,bg,feederbg-2,na,na,6:51:00 AM,7:44:00 AM,feeder,66,52,14.38,0,0,na,na,yes,yes,yes,na,na,na,Tail molt and missing R4 on wing,1/19/2024,0.0623,HD,twist top tube,,
58-10,06-0141,3171-08883,7/28/2023,3,sy,f,bg,feederbg-2,na,na,6:54:00 AM,7:55:00 AM,feeder,68,52,14.27,0,1,na,na,yes,no,yes,na,na,na,Feather in sample; missing tail feather,1/19/2024,0.0113,HD,twist top tube,,
59-01,06-0147,2811-92934,7/29/2023,3,asy,m,bg,feederbg-2,na,na,6:34:00 AM,6:50:00 AM,feeder,74,60,20.42,2,2,yes,no,na,na,yes,na,na,na,Receding CP,1/24/2024,0.0581,HD,twist top tube,,
59-02,06-0148,3171-08895,7/29/2023,3,sy,f,bg,feederbg-2,na,na,6:31:00 AM,7:06:00 AM,feeder,65,51,15.76,1,0,no,yes,no,yes,yes,na,na,na,Molt limit on pp cov,1/24/2024,0.0763,HD,twist top tube,,
59-04,06-0150,3171-08897,7/29/2023,3,hy,u,bg,net23-13-1,13,1,6:36:00 AM,7:18:00 AM,passive,71,51,15.76,1,1,na,na,na,na,yes,na,na,na,na,1/24/2024,0.0329,HD,twist top tube,,
59-06,06-0152,2261-05501,7/29/2023,3,asy,f,bg,feederbg-2,na,na,7:06:00 AM,7:38:00 AM,feeder,70,56,16.12,0,1,no,yes,na,na,yes,na,na,na,na,1/24/2024,0.0349,HD,twist top tube,,
59-07,06-0153,3171-08899,7/29/2023,3,hy,u,bg,feederbg-2,na,na,7:07:00 AM,7:50:00 AM,feeder,67,52,14.25,0,0,na,na,na,na,yes,na,na,na,na,1/24/2024,0.0614,HD,twist top tube,,
60-01,06-0158,2350-30208,8/1/2023,3,sy,f,bor,feederbor-2,na,na,6:36:00 AM,7:23:00 AM,feeder,67,54,18.24,2,1,na,na,yes,no,yes,na,na,na,Stored on WET ICE; Sample on bag: Molt on lores,1/24/2024,0.1495,HD,twist top tube,,
60-03,06-0160,2511-33326,8/1/2023,3,asy,m,bor,feederbor-2,na,na,6:41:00 AM,7:24:00 AM,feeder,70,58,18.42,2,0,yes,no,na,na,yes,na,na,na,Stored on WET ICE,1/24/2024,0.0442,HD,twist top tube,,
60-04,06-0161,2350-30210,8/1/2023,3,sy,f,bor,feederbor-2,na,na,6:40:00 AM,7:32:00 AM,feeder,64,50,16.24,0,0,na,na,na,na,yes,na,na,na,Stored on WET ICE,1/24/2024,0.0331,HD,twist top tube,,
60-10,06-0167,2541-50643,8/1/2023,3,asy,f,bor,feederbor-2,na,na,7:42:00 AM,8:04:00 AM,feeder,67,52,14.43,0,0,na,na,na,na,yes,na,na,na,Stored on WET ICE,1/24/2024,0.0714,HD,twist top tube,,
61-01,06-0168,2350-30215,8/2/2023,3,hy,u,bor,feederbor-2,na,na,6:40:00 AM,7:00:00 AM,feeder,63,51,14.26,0,2,na,na,na,na,yes,na,na,na,Fright molt ,1/24/2024,0.0341,HD,twist top tube,,
62-01,06-0169,2350-30218,8/4/2023,3,hy,u,bg,feederbg-1,na,na,6:30:00 AM,6:58:00 AM,feeder,71,56,19.68,2,2,na,na,na,na,yes,na,na,na,na,1/24/2024,0.0634,LD,twist top tube,,
62-04,06-0172,2350-30220,8/4/2023,3,hy,u,bg,feederbg-2,na,na,6:36:00 AM,7:07:00 AM,feeder,69,53,14.21,0,0,na,na,yes,yes,yes,na,na,na,Tertial molt on R wing and tail molt,1/24/2024,0.0851,LD,twist top tube,,
62-08,06-0176,2350-30221,8/4/2023,3,hy,u,bg,feederbg-2,na,na,6:38:00 AM,7:35:00 AM,feeder,65,50,18.03,1,1,na,na,na,na,yes,na,na,na,na,1/24/2024,0.0412,LD,twist top tube,,
62-10,06-0178,2350-30224,8/4/2023,3,sy,f,bg,feederbg-2,na,na,7:45:00 AM,7:58:00 AM,feeder,66,53,14.03,0,0,no,yes,na,na,no,na,na,na,Stressed so released before photos,1/24/2024,0.1569,LD,twist top tube,,
